address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra1clrdpcm6rgcrfptxapudu4xetd677mkztluekg,0,111089492998,0,0,0,0,0,0,0,0,0,111089492998
terra1wkvpdke05hynvae4qn9w3rjxk7rcxhpp68ruuf,161136639,0,81135886385,0,0,0,0,0,3158131067,23547298122,0,108002452213
terra1kl8tnzgzqvhy9ss3mnwjt4cvgktwhf9f084fea,975899947,0,0,0,0,0,103402562151,0,0,2840896055,0,107219358153
terra13afxtkden22zk56adeejtn84n9ufd95clrplku,106800591825,0,0,0,0,0,0,0,0,0,0,106800591825
terra1h0xr8lmua7n26lyvpezlkq63ktgjtqay3pve53,26677656136,40053664216,0,0,21593699276,0,0,0,0,17999134860,0,106324154488
terra1kge9hrh2smfh9easjsldwwm6lxn23v8flc33f6,59363178831,43859609627,0,0,0,0,0,0,0,553064216,0,103775852674
terra17aq8zcd9644nshjfx8azh42mfpfn2kp0tqwzl4,0,0,103459550780,0,0,0,0,0,0,0,0,103459550780
terra1u6a6nx2nc802q442kydtxg0rarc3zumn767awx,0,0,103288833656,0,0,0,0,0,0,0,0,103288833656
terra16qddd8dnpjpxjtwk0ulpkax2vrea2f8q2twx8w,269604202,0,922132531,0,0,0,101163321503,0,0,0,0,102355058236
terra1kpw86jjadgyr0z5qxhhaecnt7g9ddkmxp4fp3e,0,101610951636,0,0,0,0,0,0,0,625367782,0,102236319418
terra138axlnu6erfplkq0ppxxp75p4u93q7mser589p,101974902944,0,0,0,0,0,0,0,0,0,0,101974902944
terra1z54ygzptp0ylvsewv7mr4xwhrr83qxahn0ypzc,0,0,100296493877,0,0,0,0,0,0,0,0,100296493877
terra1yv9prt8jm3ddryc8yp26c3jsfx8wfdmc25fnmy,0,100122626448,0,0,0,0,0,0,0,0,0,100122626448
terra1u58gaqxuhmwd36ckcca949x5q8dts2zdw6gkt8,0,0,61818480959,0,0,0,0,0,0,38185207551,0,100003688510
terra1dvk649ydmxytj8fylgfre42v3sdyqm72z2mmdc,100000000000,0,0,0,0,0,0,0,0,0,0,100000000000
terra16jtwav3jk2m6nuctt7f2afp99cjj73zh0xzaq4,0,98457913082,0,0,0,0,0,0,0,0,0,98457913082
terra1q5vcafdpehuef30m5an2rdd86v6ku4648s287e,0,0,0,0,0,0,0,0,0,93279289901,0,93279289901
terra1dcwpc7tvx09ffda0mhx3rr6rsd4t8m4t2juvyk,92172904224,0,0,0,0,0,0,0,0,0,0,92172904224
terra1d3yangzuh0rpa4j8eywdp0le4yu6u4trcl2yeh,11197633,91611315388,0,0,0,0,0,0,0,0,0,91622513021
terra1e42dz7ale9mn79rp8uyjjq39l9t7ss0hfgcxpz,41838057882,0,0,0,0,0,0,0,0,48600720101,0,90438777983
terra1f0yzy96m5nvv5zmykt7fzgzx5rgkd2ee2779wg,0,79929874499,0,0,0,0,0,0,0,9519444627,0,89449319126
terra10zt8j3l2p9dy24kdn8ctlupz9c0l0gtwar7nuv,0,41515149982,0,0,0,0,0,0,0,46724462486,0,88239612468
terra1lsgjkj7wxcd237m9hd3knra3d4j0745x7qnxkl,67921437972,19587163492,0,0,0,0,0,0,0,0,0,87508601464
terra1uhzfy6qpvq4sfnaf366pshl6770phhgjaflvl8,85297462843,0,0,0,0,0,0,0,0,0,0,85297462843
terra1jscgcv3rep7gq60ld4e6d9clrhx87uuzzp7jsj,84882362517,0,0,0,0,0,0,0,0,0,0,84882362517
terra1m792pv28r2sd9767g9m2aj8qvgkj7dyy3n4fcw,28798114178,2656116502,50751508635,0,0,0,0,0,1702593563,21506663,0,83929839541
terra148lrf70g8jwpwwc3sz0jfmfhk5m2g5k9zagjn7,0,0,52476471306,0,0,0,0,0,0,31056126817,0,83532598123
terra1dguajk3gt53dhezrw28lw3rjq7qpu0a9c4h6sq,0,830859672,82238696064,0,0,0,0,0,0,0,0,83069555736
terra1g70nllnylv5fkhstqe6ku2qp6c4yjq7z3jphsa,79460048833,0,0,0,0,0,0,0,0,0,0,79460048833
terra19q0p07jjyazpkaj6ml6g8aj46uqtgm5vc2pcl0,340739370,13801579402,14960558334,0,0,0,0,0,0,50066336769,0,79169213875
terra1q73q9p3pgckkxlx025edc9memaq8lzc9xvy0np,77465991533,0,0,0,0,0,0,0,0,0,0,77465991533
terra179pt4lppx9va58ww2lyvyhsvdzafytct5kuks2,0,77152089262,0,0,0,0,0,0,0,0,0,77152089262
terra1rf56c6cntrglu27u0l0kd9ekcehydjmy4qw87t,769359770,76259270398,0,0,0,0,0,0,0,0,0,77028630168
terra1l0tn4qr8v645dqtyeymsafufx056e3mw6mgtlc,0,76667092746,0,0,0,0,0,0,0,0,0,76667092746
terra19emawq245ma53m6u464at3dkywzpvc0aspqz2r,0,0,0,0,0,0,0,0,0,76014425490,0,76014425490
terra1fmlk9kl24qn0nm37yzrzezwjvc8lwpgqcq5m60,0,0,0,0,0,0,0,0,0,72540373113,0,72540373113
terra16rawrasgs5mzne8vfln68wn8h5r5euclya2fal,72223004101,0,0,0,0,0,0,0,0,0,0,72223004101
terra1xk7x9wrhjfqhqarzy4em67ww5qv5vng07gh56l,71958679444,0,0,0,0,0,0,0,0,0,0,71958679444
terra1f5tlkwlg46chpgxgyf0en07xqa2j5u8ggw0wfm,0,70461760186,0,0,0,0,0,0,0,1186896593,0,71648656779
terra1rlfc3kdj8f27dzvts94prrj76aalt62wyug8hc,0,34583874733,0,0,0,0,0,0,0,36994163464,0,71578038196
terra1jyxljeq865wsndutyyr0vrzzq9tj3fa6rmhgrl,0,0,0,0,0,0,27459977452,0,0,43378943384,0,70838920836
terra1erdcp27d2g3ftqjex93pdh9gss5nwhxgn7nghm,0,70677236322,0,0,0,0,0,0,0,0,0,70677236322
terra1ynumtglc79tsjmekss76npyj2hqchql4p5456e,0,19731071584,0,0,0,0,45062356979,0,0,5692194528,0,70485623091
